given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
elton,,3,light setreet,pinehill,windermere,3212,vic,19651013,1551941
mitchell,maxon,47,edkins street,lochaoair,north ryde,3355,nsw,19390212,8859999
,white,72,lambrigg street,kelgoola,broadbeach waters,3159,vic,19620216,9731855
elk i,menzies,1,lyster place,,northwood,2585,vic,19980624,4970481
,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884
sophie,manson,14,elizabeth xrescent,manorhouse,gorokan,3465,vic,19510201,4818868
madison,morrison,38,peacock place,melim a,campbelltown,3021,wa,19481214,1967265
jayed,millar,6,meredith c ircuit,,thornbury,6014,vic,19340731,1314310
joshua,raward,26,yambina cerscent,thorndale,macgrdgor,4718,qld,,9086686
david,sette,105,spring raghe road,jessiefield,villawood,2213,wa,19950603,9471099
jacob,delfos,102,morgan crescent,valicare,geurie,4557,act,19510208,4071052
braiden,hering,26,snowde n place,peppercor lodge,new farm,3016,nsw,19240408,7720229
mia,wnite,1329,national circuit,sec 301,narembeen,2765,nsw,19130418,5053650
nicholas,mcneill,16,,tunis,bacchus marsh,6019,nsw,19800829,5215850
rybak,jassim,16,newman morrisf circuit,brookfield,oromnd,2218,vic,19840706,8822389
cassandra,lock,5,glossop cerscent,kames,scarborough,6153,nsw,19371206,2516564
ilam,tschitrpig,61,biffin sreet,,blacktown,2221,nsw,19970528,6098354
adam,ewald,,wentcher place,longstay caravn park,kempsey,5902,nsw,19180203,2268410
lochlan,weaver,30,carnegie crescent,gantham,wendouree,3197,nsw,19990511,4335106
zara,white,189,mackey place,doctors flat,hawthorn,4300,wa,19320621,7744887
,grubb,10,berne cresxent,yooringa,st hubertscisland,6539,nsw,19341211,6333533
shanaye,averats,162,benjami n way,ashville,bamawm,3175,qld,19340625,8786773
,babic,1,totterdell street,cooingale,st albans,4060,sa,19450493,3346822
amy,green,8,cahalan place,,east preston,2114,,19900401,2287496
isabe lla,waller,,blackbu rn street,omeo,stanmore,5035,vic,19500719,7270771
samuel,rudd,46,powlett street,,kingston,3453,sa,19580819,7309587
jordan,whie,8,,,ryde,2148,vic,19890416,6617539
brielle,speabrs,8,tunney c rescent,hd blanch sec 28,rosslyn park,3350,wa,19890201,3140493
harry,bishop,5,darwinia terrace,craigsto nl1bg,glenmore aprk,4830,wa,19781114,7781607
noah,fusco,65,kruseplace,thepoints h olsteins,kununurra,3400,nsw,19490107,9136935
stella,clarke,11,leist strewt,emerald banks,burnie,3152,wa,19020227,6990160
bradley,sribar,32,sturt avenue,everge en,buronga,2710,sa,19511217,9160808
annabel,thropr,21,airey crescent,galloway,rokeby,4670,vic,19920305,2814912
joshua,dixon,60,croton street,ethnam arm,surrey hills,2617,nsw,19481014,5540614
jacob,wbeb,14,hawdon treet,aumuller house,forest lodge,6050,nsw,19450315,8971806
isabella,ryan,61,downes place,spring ridge,ardeer,3058,nsw,19331204,4702512
chloe,musoilno,4,warrumbmul street,gordoivale,brighton,3728,ni,,7147784
blake,mcvicar,26,ellerston avenue,rosehill,bowral,3009,qld,19890504,1219082
nicholas,mycko,259,alma close,farm shed,centennail park,3000,qld,19450728,3274337
kiana,huxley,12,southern close,little dale,maryborough,2517,nsw,19140529,1728316
macormack,campball,21,shipard place,demountabel bldg,brighton,2546,qld,19640101,3116298
lachln,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2707,nsw,19770527,2068877
casey,heran,10,cathie p lace,watarmark,rowville,6135,sa,19390522,8255871
bailey,satte rley,28,newman morcbis circuit,carrington garden,beamont,2074,nsw,19730919,1989082
caleb,dabinet,30,springfields farms,rodway tsreet,mount ommaney,3133,qld,19040620,2071263
bllke,white,16,brunto nstreet,rosetta village,frankxton,2800,vic,19731009,6366377
mihal,hannsh,,aspinal ls treet,,nyal west,6060,vic,,7161412
paige,webb,,arthaldo court,,cardkff,5023,vic,19341104,6388140
nahan,bishop,2,osburn drive,noosa village shopping centre,woodhill,2530,vic,19961008,6472175
saraa,carmody,14,gilmore crescent,brentwood vlge,denmark,4650,wa,19830421,7880298
mia,reid,4,le hunte srreet,marretth,como,3777,vic,19800421,3451673
adamx,craze,,mcclintoxk street,loma langie,portarlington,3199,wa,19270510,3239913
makenzi,elphick,31,copland drive,gwand alan,erskine,4214,wa,19500810,1011936
rhys,horsley,11,,calalafarm,sale,7130,nsw,19070227,5179281
zane,webb,4,mackinolty street,mayflower rtrmnt vlge,ganmani,6018,vic,19190523,1897310
bailey,zilm,11,,craigow,deer park,6112,tas,19471001,5100168
phoebe,,33,kumm place,the manor garden,harris park,2323,vic,19061113,3155906
molly,hanna,18,lewis luxton avenue,tullaillan,salisbury east,2032,vic,19171018,3994290
,gibb,35,tenison-woodsr circuit,the j gms,adamstown heights,6333,nsw,19090430,3651633
,ebert,69,rapanea street,pangabi,,6061,nsw,19310909,9105802
cambell,coteman,45,norton street,skilbister,coniston,3803,act,19731016,2389212
marko,lamprey,23,kilburnie,backler place,windsor,6083,nsw,19401125,4959474
joe,lodgw,200,steinwedel street,kmart p plaza,toowoomba,4016,wa,19710830,2655513
ethan,marson,40,catumbel lodge,tinaroo place,hoppers crossing,2035,vic,19100123,9238396
elton,coldicutt,3,somerset s treet,newman medcaql centre,ashfield,5037,vic,19341016,9721944
ja xson,selht,1,moonta place,walhalla,maryborough,2066,qld,19130707,7238580
